name,source,repository,kinematics,nstatv,ntens,props_count,material_provenance,nstatv_provenance,loading_probe,furthest_stage,primal_parity,rows_total,rows_agreeing,rows_disagreeing,rows_unresolved,structural_zeros,worst_relative_error,driven_through,reference_perturbation,blocker
From-3D-to-3D-Petal,Jeff97__General-shape-control-of-shell/Abaqus_Files/3Dto3D/From-3D-to-3D-Petal.for,3Dto3D,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",original_executed,0.004851055892324765,0,0,0,0,0,,,,"the transformed and original builds disagree on stress (worst relative difference 4.851e-03), so a tangent comparison would not be between comparable quantities"
From-3D-to-3D-SeaShell,Jeff97__General-shape-control-of-shell/Abaqus_Files/3Dto3D/From-3D-to-3D-SeaShell.for,3Dto3D,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",original_executed,1.777768622180145e-06,0,0,0,0,0,,,,"the transformed and original builds disagree on stress (worst relative difference 1.778e-06), so a tangent comparison would not be between comparable quantities"
Growth-Alex,Jeff97__General-shape-control-of-shell/Abaqus_Files/Alex_Shocked/Growth-Alex.for,Alex_Shocked,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",original_compiled,,0,0,0,0,0,,,,"the source reads 'T:\\Abaqus-Temp\\20231205AlexCoarse\\Lambda10.csv' at run time and its repository does not ship that file, so the model cannot be driven here -- and could not be driven under Abaqus on any machine but i"
Growth-Car,Jeff97__General-shape-control-of-shell/Abaqus_Files/Beetle_Taxi/Growth-Car.for,Beetle_Taxi,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",original_compiled,,0,0,0,0,0,,,,"the source reads 'T:\\Abaqus-Temp\\20231201CarScale\\Lambda10.csv' at run time and its repository does not ship that file, so the model cannot be driven here -- and could not be driven under Abaqus on any machine but its"
Growth-Robot,Jeff97__General-shape-control-of-shell/Abaqus_Files/FaceChange/Growth-Robot.for,FaceChange,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",original_compiled,,0,0,0,0,0,,,,"the source reads 'T:\\Abaqus-Temp\\20231212RobotToSophie\\Lambda10St1.csv' at run time and its repository does not ship that file, so the model cannot be driven here -- and could not be driven under Abaqus on any machine"
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/BodyForce-Growth-2Stages.for,Th001,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGravity,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/PureGravity.for,Th001,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGrowth,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/PureGrowth.for,Th001,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th002/BodyForce-Growth-2Stages.for,Th002,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGravity,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th002/PureGravity.for,Th002,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGrowth,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th002/PureGrowth.for,Th002,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th005/BodyForce-Growth-2Stages.for,Th005,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGrowth,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th005/PureGrowth.for,Th005,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th005-Visualization/BodyForce-Growth-2Stages.for,Th005-Visualization,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th01/BodyForce-Growth-2Stages.for,Th01,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGravity,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th01/PureGravity.for,Th01,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGrowth,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th01/PureGrowth.for,Th01,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th001/BodyForce-Growth-2Stages.for,Th001,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGrowth,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th001/PureGrowth.for,Th001,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th002/BodyForce-Growth-2Stages.for,Th002,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGrowth,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th002/PureGrowth.for,Th002,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th005/BodyForce-Growth-2Stages.for,Th005,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGrowth,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th005/PureGrowth.for,Th005,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th005-Visualization/BodyForce-Growth-2Stages.for,Th005-Visualization,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th01/BodyForce-Growth-2Stages.for,Th01,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGravity,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th01/PureGravity.for,Th01,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
PureGrowth,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th01/PureGrowth.for,Th01,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
BodyForce-Growth-2Stages,Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/Flat/Th001/BodyForce-Growth-2Stages.for,Th001,finite,9,6,1,"Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp, *Material name=neoHookean at line 32890",*DEPVAR in Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/Beam-Gravity-C0-100MPa.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",contract_constructed,,0,0,0,0,0,,,,transform_blocked | Promoted variable READDETF is indexed in a stress region but has no confirmed shape.
