increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification,nominal_branch,node_branches,branch_consistent,min_branch_margin,min_branch_margin_unavailable_reason,admissible,rejection_reason
1,elastic,3,2,1|1,repeated,2.0,8e-05,3.422144800424576e-06,1.425893666843573e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,2,1|1,repeated,1.0,4e-05,1.1101365089416504e-05,4.625568787256877e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,2,1|1,repeated,0.5,2e-05,1.33514404296875e-05,5.563100179036458e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,2,1|1,repeated,0.25,1e-05,7.224082946777344e-05,3.0100345611572265e-13,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,2,1|1,repeated,0.125,5e-06,0.000762939453125,3.178914388020833e-12,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,2,1|1,repeated,0.0625,2.5e-06,0.0029010772705078125,1.2087821960449219e-11,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,2,1|1,repeated,16.0,0.00064,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,4,2,1|1,repeated,8.0,0.00032,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,4,2,1|1,repeated,4.0,0.00016,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,4,2,1|1,repeated,2.0,8e-05,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,2,1|1,repeated,1.0,4e-05,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,2,1|1,repeated,0.5,2e-05,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,2,1|1,repeated,0.25,1e-05,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,2,1|1,repeated,0.125,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,2,1|1,repeated,0.0625,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,3,1|1|1,repeated,16.0,0.00064,-193177683622.7238,-0.8049070150946825,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,3,1|1|1,repeated,8.0,0.00032,-79252652101.48923,-0.33021938375620513,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,3,1|1|1,repeated,4.0,0.00016,-65344426063.85707,-0.2722684419327378,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,3,1|1|1,repeated,2.0,8e-05,0.12109375,5.045572916666666e-13,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,3,1|1|1,repeated,1.0,4e-05,0.421875,1.7578125e-12,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,3,1|1|1,repeated,0.5,2e-05,-3.875,-1.6145833333333333e-11,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,3,1|1|1,repeated,0.25,1e-05,-40.0,-1.6666666666666666e-10,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,3,1|1|1,repeated,0.125,5e-06,-344.0,-1.4333333333333333e-09,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,3,1|1|1,repeated,0.0625,2.5e-06,3520.0,1.4666666666666667e-08,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,3,1|1|1,repeated,16.0,0.00064,117133823135.50302,0.4880575963979293,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,3,1|1|1,repeated,8.0,0.00032,59080073349.48694,0.24616697228952894,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,3,1|1|1,repeated,4.0,0.00016,42830587815.371826,0.1784607825640493,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,3,1|1|1,repeated,2.0,8e-05,0.00048828125,2.0345052083333334e-15,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,3,1|1|1,repeated,1.0,4e-05,-0.015625,-6.510416666666667e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,3,1|1|1,repeated,0.5,2e-05,-5.6875,-2.369791666666667e-11,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,3,1|1|1,repeated,0.25,1e-05,11.46875,4.778645833333334e-11,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,3,1|1|1,repeated,0.125,5e-06,33.5,1.3958333333333334e-10,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,3,1|1|1,repeated,0.0625,2.5e-06,1062.0,4.425000000000001e-09,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,3,1|1|1,repeated,16.0,0.00064,76043860487.21991,0.31684941869674965,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,3,3,1|1|1,repeated,8.0,0.00032,20172578752.0054,0.08405241146668918,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,3,3,1|1|1,repeated,4.0,0.00016,22513838248.521484,0.09380765936883952,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,3,3,1|1|1,repeated,2.0,8e-05,0.014404296875,6.001790364583334e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,3,1|1|1,repeated,1.0,4e-05,0.103515625,4.313151041666667e-13,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,3,1|1|1,repeated,0.5,2e-05,-6.0625,-2.526041666666667e-11,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,3,1|1|1,repeated,0.25,1e-05,7.5,3.125e-11,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,3,1|1|1,repeated,0.125,5e-06,84.0,3.5000000000000003e-10,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,3,1|1|1,repeated,0.0625,2.5e-06,1104.0,4.600000000000001e-09,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,3,1|1|1,repeated,16.0,0.00064,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,4,3,1|1|1,repeated,8.0,0.00032,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,4,3,1|1|1,repeated,4.0,0.00016,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,4,3,1|1|1,repeated,2.0,8e-05,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,3,1|1|1,repeated,1.0,4e-05,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,3,1|1|1,repeated,0.5,2e-05,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,3,1|1|1,repeated,0.25,1e-05,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,3,1|1|1,repeated,0.125,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,3,1|1|1,repeated,0.0625,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,4,1|1|1|1,repeated,16.0,0.00064,-502748983659231.6,-2.0947874319134656,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,4,1|1|1|1,repeated,8.0,0.00032,-1082861876927071.2,-4.511924487196131,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,4,1|1|1|1,repeated,4.0,0.00016,-408402662899601.25,-1.701677762081672,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,4,1|1|1|1,repeated,2.0,8e-05,560.0,2.3333333333333338e-12,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,4,1|1|1|1,repeated,1.0,4e-05,95232.0,3.9680000000000007e-10,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,4,1|1|1|1,repeated,0.5,2e-05,-1163264.0,-4.8469333333333345e-09,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,4,1|1|1|1,repeated,0.25,1e-05,6553600.0,2.730666666666667e-08,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,4,1|1|1|1,repeated,0.125,5e-06,-279969792.0,-1.1665408000000002e-06,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,4,1|1|1|1,repeated,0.0625,2.5e-06,-5016387584.0,-2.0901614933333338e-05,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,4,1|1|1|1,repeated,16.0,0.00064,294218882299326.0,1.2259120095805252,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,4,1|1|1|1,repeated,8.0,0.00032,742628053511099.4,3.094283556296248,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,4,1|1|1|1,repeated,4.0,0.00016,267691173846082.66,1.1153798910253445,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,4,1|1|1|1,repeated,2.0,8e-05,118.5,4.937500000000001e-13,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,4,1|1|1|1,repeated,1.0,4e-05,-44568.0,-1.8570000000000002e-10,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,4,1|1|1|1,repeated,0.5,2e-05,255360.0,1.064e-09,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,4,1|1|1|1,repeated,0.25,1e-05,-493568.0,-2.056533333333334e-09,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,4,1|1|1|1,repeated,0.125,5e-06,-185221120.0,-7.717546666666669e-07,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,4,1|1|1|1,repeated,0.0625,2.5e-06,876216320.0,3.6509013333333343e-06,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,4,1|1|1|1,repeated,16.0,0.00064,208530101359902.06,0.8688754223329254,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,3,4,1|1|1|1,repeated,8.0,0.00032,340233823415972.06,1.4176409308998836,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,3,4,1|1|1|1,repeated,4.0,0.00016,140711489053259.75,0.5862978710552491,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,3,4,1|1|1|1,repeated,2.0,8e-05,-2568.0,-1.0700000000000002e-11,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,4,1|1|1|1,repeated,1.0,4e-05,-60352.0,-2.514666666666667e-10,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,4,1|1|1|1,repeated,0.5,2e-05,-179200.0,-7.466666666666669e-10,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,4,1|1|1|1,repeated,0.25,1e-05,-7536640.0,-3.140266666666667e-08,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,4,1|1|1|1,repeated,0.125,5e-06,-242745344.0,-1.0114389333333336e-06,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,4,1|1|1|1,repeated,0.0625,2.5e-06,-796917760.0,-3.3204906666666675e-06,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,4,4,1|1|1|1,repeated,16.0,0.00064,0.0,0.0,True,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
